# Fórmula: SI(Y(V1>75,V2<25),0,1)
# Solución encontrada usando FIT: if (((v[1]>75*Math.pow(10,+0))&&(v[2]<=27*Math.pow(10,-0)))) { result = 0.0; } else { result = 1.0; } return result; 
# ... contando errores: if (((v[1]>=75*Math.pow(10,+0))&&(v[2]<=24*Math.pow(10,-0)))) { result = 0.0; } else { result = 1.0; } return result; 
1;79.85;60.10
1;8.68;65.99
1;70.31;85.82
1;67.08;96.56
0;90.15;5.92
1;7.53;61.09
1;40.34;19.08
0;86.42;6.08
1;12.38;57.00
1;94.41;87.54
1;68.82;87.17
1;79.61;52.83
1;92.87;51.24
1;20.19;42.52
1;34.92;49.42
1;23.71;18.49
1;62.98;12.65
1;66.90;41.49
1;4.52;95.50
1;26.37;2.55
1;60.02;55.21
1;99.69;25.59
1;36.15;15.42
0;76.56;5.42
1;29.87;97.43
1;37.51;72.81
1;69.30;66.03
1;10.08;84.15
1;69.99;48.80
1;26.23;35.34
1;39.25;55.11
1;8.55;44.14
0;88.63;15.29
1;68.61;78.98
0;97.14;1.89
1;36.63;4.46
1;31.42;4.98
1;6.98;71.26
1;59.73;1.56
1;55.16;7.96
1;87.57;94.60
0;85.71;7.80
1;83.62;30.65
1;75.39;58.28
1;63.23;14.73
1;49.97;35.63
1;60.33;17.47
1;13.12;39.92
1;21.54;38.18
1;64.78;19.80
1;13.98;32.04
1;53.36;64.77
1;14.56;22.92
1;12.64;89.36
1;68.56;37.74
1;20.57;15.02
1;98.41;88.23
1;84.89;80.99
1;19.39;13.95
1;66.67;32.06
1;25.54;49.71
1;50.27;52.57
1;69.28;59.38
1;72.21;38.21
1;19.74;86.74
1;72.47;2.40
1;61.42;26.78
1;33.19;29.95
1;28.63;50.80
1;26.31;39.49
1;38.92;39.97
1;70.01;31.80
1;90.71;29.77
1;52.20;7.63
1;1.68;61.60
1;14.68;91.96
1;99.18;36.20
1;81.97;52.55
1;2.56;1.87
1;25.48;84.41
1;66.88;6.61
1;12.18;25.81
1;63.84;89.00
1;22.49;9.74
1;15.23;76.95
1;26.95;2.20
1;95.14;69.86
1;7.93;78.92
1;56.16;19.65
1;71.58;50.74
1;65.90;1.45
1;38.42;32.44
1;82.87;57.55
1;80.58;33.25
1;9.23;43.64
1;90.73;55.78
1;65.46;75.73
1;36.11;3.62
1;94.94;27.99
1;38.89;75.78
1;69.57;53.45
1;98.61;57.53
1;1.58;89.67
1;70.36;42.01
1;41.49;90.50
1;39.55;39.66
1;5.37;26.62
1;68.09;46.52
1;93.63;85.88
1;95.71;98.09
1;64.13;10.21
1;37.12;68.27
1;23.23;60.37
1;6.21;98.47
1;64.00;57.22
0;81.55;17.53
1;46.24;5.02
1;75.84;94.03
1;54.62;64.85
1;15.24;97.73
1;55.83;96.42
1;56.68;94.90
1;42.97;8.47
1;77.01;40.58
1;9.16;96.90
1;71.10;51.07
1;42.17;86.17
1;23.26;5.74
1;3.29;12.15
0;90.89;14.11
1;16.43;97.51
1;51.35;16.33
1;13.56;93.22
1;92.85;52.78
1;71.02;21.07
0;99.44;22.84
1;56.47;66.16
1;57.46;87.58
1;37.99;67.28
1;62.81;78.68
1;5.85;18.00
1;49.40;88.34
1;63.74;56.28
1;18.00;69.38
1;50.05;2.43
1;52.35;76.39
1;97.25;43.19
1;32.36;59.15
0;77.62;17.64
1;23.84;24.04
1;90.02;27.00
1;98.86;53.91
1;70.01;56.38
1;21.66;70.98
1;17.74;6.50
1;92.28;29.24
1;72.28;49.26
1;97.16;96.85
1;10.13;2.42
1;82.72;93.50
1;37.06;94.14
1;64.60;18.55
1;45.07;40.74
0;94.17;10.26
1;24.15;51.00
1;62.33;20.16
1;80.58;71.15
1;35.51;67.03
1;71.87;18.33
1;47.45;33.00
1;71.20;25.83
1;33.04;56.05
0;83.82;9.33
1;87.00;25.84
1;76.32;81.30
1;36.85;19.23
1;65.24;95.88
1;15.97;10.80
1;27.06;0.66
1;21.43;87.91
1;31.15;19.65
1;25.86;50.19
1;49.74;16.28
1;23.48;54.95
1;66.66;64.52
1;69.74;90.76
1;87.34;76.98
1;2.48;0.27
1;51.66;8.60
1;52.71;30.72
1;63.88;80.14
0;88.38;20.10
1;17.80;18.63
1;51.64;87.48
1;26.34;36.02
1;19.84;38.78
1;64.55;67.64
1;45.45;6.62
